Signatur	STANDORT_Hilfsspalte	STANDORT2	STANDORT3	ZUGANGSNR	EXEMPLARNR	Kurztitel	GTV	HST	Sachgruppe	Ort	"Epoche/
Räume"	ISBN
P 1030w - 13	P 001030w - 13	Zentrale		BV91/322	1608476001	"Lauwers, Pascale: Outrijve-Bossuit / Pascale Lauwers (Archaeol... ; 13)(Dissertationes ad...)"	"Archaeologisch inventaris :  Vlaanderen ; 13"	Outrijve-Bossuit	"INV;PRO"	BEN	"PAL/MES;NEO"	
P 1030w - 14	P 001030w - 14	Zentrale		BV93/651	1608478001	"Mannekensvere / Hans Mestdagh (Archeolo... ; 14)(Dissertationes ad...)"	"Archeologische inventaris :  Vlaanderen ; 14"	Mannekensvere	"INV;PRO"	BEN	"PAL/MES;NEO;BZ;EZ;RKZ;VWZ/FMA;MA/NZ"	
P 1030w - 15	P 001030w - 15	Zentrale		BV93/651	1608479001	"Wannegem-Lede / Kurt Braeckman (Archaeol... ; 15)(Dissertationes ad...)"	"Archaeologisch inventaris : Vlaanderen ; 15"	Wannegem-Lede	"INV;PRO"	BEN	"PAL/MES;NEO;RKZ;MA/NZ"	
P 1030w - 2	P 001030w - 2	Zentrale		BV95/771	1608461001	"Hillewaert, Beatrijs: Oosterkerke-bij-Brugge / Beatrijs Hillewaert (Archaeol... ; 2)(Dissertationes ad ...)"	"Archaeologisch inventaris :  Vlaanderen ; 2"	Oosterkerke-bij-Brugge	"INV;PRO"	BEN	"RKZ;VWZ/FMA;MA/NZ"	
P 1030w - 3	P 001030w - 3	Zentrale		BV95/771	1608462001	"Balthau, Eric: Laarne / Eric Balthau (Archaeol... ; 3)(Dissertationes ad ...)"	"Archaeologisch inventaris :  Vlaanderen ; 3"	Laarne	"INV;PRO"	BEN	"NEO;RKZ;VWZ/FMA;MA/NZ"	
P 1030w - 4	P 001030w - 4	Zentrale		BV95/771	1608463001	"Bauters, Luc: Eke / Luc Bauters (Archaeol... ; 4)(Dissertationes ad ...)"	"Archaeologisch inventaris :  Vlaanderen ; 4"	Eke	"INV;PRO"	BEN	"PAL/MES;EZ;VWZ/FMA, MA/NZ"	
P 1030w - 5	P 001030w - 5	Zentrale		BV86/843	1608464001	"Pieters, Marnix: Moorsel / Marnix Pieters (Archaeol... ; 5)(Dissertationes ad ...)"	"Archaeologisch inventaris :  Vlaanderen ; 5"	Moorsel	"INV;PRO"	BEN	"PAL/MES;NEO;BZ;RKZ;VWZ/FMA; MA/NZ"	
P 1030w - 6	P 001030w - 6	Zentrale		BV86/844	1608465001	"Bungeneers, Joke: Oelegem / Joke Bungeneers (Archaeol... ; 6)(Dissertationes ad ...)"	"Archaeologisch inventaris :  Vlaanderen ; 6"	Oelegem	"INV;PRO"	BEN	"PAL/MES;NEO;BZ;EZ;RKZ;VWZ/FMA;MA/NZ"	
P 1030w - 7	P 001030w - 7	Zentrale		BV87/179	1608466001	"Rommelaere, Johan: Meilegem - Nederzwalm-Hermelgem / Johan Rommelaere (Archaeol... ; 7)(Dissertationes ad ...)"	"Archaeologisch inventaris : Vlaanderen ; 7"	Meilegem - Nederzwalm-Hermelgem	"INV;PRO"	BEN	"NEO;RKZ;VWZ/FMA;MA/NZ"	
P 1030w - 8	P 001030w - 8	Zentrale		BV88/166	1608467001	"Crombé, Philippe: Maarke-Kerkem / Philippe Crombé (Archaeol... ; 8)(Dissertationes ad ...)"	"Archaeologisch inventaris :  Vlaanderen ; 8"	Maarke-Kerkem	"INV;PRO"	BEN	"PAL/MES;NEO;RKZ;VWZ/FMA;MA/NZ"	
P 1030w - 9	P 001030w - 9	Zentrale		BV88/637	1608469001	"Soers, Kristel: Assebroek / Kristel Soers (Archaeol... ; 9)(Dissertationes ad ...)"	"Archaeologisch inventaris :  Vlaanderen ; 9"	Assebroek	"INV;PRO"	BEN	"PAL/MES;VWZ/FMA;MA/NZ"	
P 1031 - 1	P 001031 - 1	Zentrale		BV70/291	1587711001	An inventory of the historical monuments in the city of York 1. Eburacum : Roman York. - 1962. - XLII, 168 S. : zahlr. Ill., graph. Darst., Kt.		Eburacum	"SIE; ARC;GRÄ"	BR	RKZ	
P 1031h - 2	P 001031h - 2	Zentrale		BV87/665	1587722001	An inventory of the ancient monuments in Brecknock (Brycheiniog) 2. Hill-forts and Roman Remains. - 1986. - 196 S. 		Hill-forts and Roman Remains	"SIE; KRI"	BR	RKZ	
P 1031k - 1,1	P 001031k - 1,1	Zentrale		BV78/150	1587728001	An inventory of the ancient monuments in Glamorgan Vol. 1,1. Pre-norman : The Stone and Bronze ages. - 1976. - XXX, 144 S. : graph. Darst., Ill., zahlr. Kt., 1 Bl. Corrections		Pre-norman	SIE	BR	"PAL/ MES; NEO; BZ"	0-11-700588-6
P 1031k - 1,2	P 001031k - 1,2	Zentrale		BV78/150	1587729001	An inventory of the ancient monuments in Glamorgan Vol. 1,2. Pre-norman : The Iron Age and the roman occupation. - 1976. - XXX, 135 S. : graph. Darst., Ill., zahlr. Kt.		Pre-norman	SIE	BR	"EZ; RKZ"	0-11-700589-4
P 1031k - 1,3	P 001031k - 1,3	Zentrale		BV88/301	1587731001	An inventory of the ancient monuments in Glamorgan Vol. 1,3. Pre-Norman : The early Christian period. - 1976.		Pre-Norman	"SIE; ARC"	BR	VWZ/ FMA	
P 1031m - 2	P 001031m - 2	Zentrale		BV80/404	1587735001	An inventory of the historical monuments in the County of Northampton 2. Archaeological sites in Central Northamptonshire. - 1979. - LXV, 201, 32 S. : Ill., graph. Darst., Kt.		Archaeological sites in Central Northamptonshire	SIE	BR	"EZ; RKZ; VWZ/ FMA"	0-11-700842-7
P 1031s	P 001031s	Zentrale		BV85/242	1587739001	arkeoikuska 1981/1982(1983)			"SIE; GRÄ"	IB	"PAL/ MES; NEO; "	
P 1031sb	P 001031sb	Zentrale		BV84/299	1587738001	arkeoikuska 1983(1985)			"SIE; GRÄ"	IB	"PAL/MES; NEO; EZ; RKZ"	
P 1031sc	P 001031sc	Zentrale		BV86/296	1587740001	arkeoikuska 1984(1986)			"SIE; GRÄ"	IB	"PAL/MES; NEO; VWZ/ FMA"	
P 1031sd	P 001031sd	Zentrale		BV87/32	1587741001	arkeoikuska 1985(1986)			"SIE; GRÄ"	IB	"PAL/MES; NEO; VWZ/ FMA"	
P 1031se	P 001031se	Zentrale		BV88/174	1587742001	arkeoikuska 1986(1987)			"SIE; GRÄ"	IB	"PAL/ MES; NEO; RKZ; VWZ/FMA"	
P 1031sf	P 001031sf	Zentrale		BV90/384	1587743001	arkeoikuska 1988(1990)			"SIE; GRÄ"	IB	"PAL/ MES; NEO; RKZ; VWZ/FMA"	
P 1031sg	P 001031sg	Zentrale		BV92/117	1587744001	arkeoikuska 1990(1991)			"SIE; GRÄ; UW"	IB	"PAL/ MES; NEO; BZ; VWZ/ FMA; MA/NZ"	
P 1031sh	P 001031sh	Zentrale		BV93/285	1587745001	arkeoikuska 1991(1992)			"SIE; GRÄ; UW"	IB	"PAL/ MES, NEO; BZ; EZ;RKZ; VWZ/ FMZ"	
P 1031si	P 001031si	Zentrale		BV94/114	1587746001	arkeoikuska 1992(1993)			"SIE; GRÄ; UW"	IB	"PAL/MES;EZ;VWZ/FMA, MA/NZ"	
P 1031sk	P 001031sk	Zentrale		BV94/1029	1587747001	arkeoikuska 1993(1994)			"SIE; GRÄ"	IB	"PAL/MES;EZ;VWZ/FMA, MA/NZ"	
P 1031sl	P 001031sl	Zentrale		BV95/981	1587748001	arkeoikuska 1994(1995)			"SIE;GRÄ"	IB	"PAL/MES;EZ;VWZ/FMA, MA/NZ"	
P 1031sm	P 001031sm	Zentrale		BV97/114	1587749001	arkeoikuska 1995(1996)			"SIE;GRÄ"	IB	"PAL/MES; RKZ;VWZ/FMA; MA/NZ "	
P 1031sn	P 001031sn	Zentrale		BV98/235	1587751001	arkeoikuska 1996(1997)			"SIE;GRÄ;UW"	IB	"PAL/MES;NEO;RKZ;VWZ/FMA; MA/NZ"	
P 1031so	P 001031so	Zentrale		BV99/146	1587753001	arkeoikuska 1997(1998)			"SIE;GRÄ ; "	IB	"PAL/MES;NEO;RKZ;VWZ/FMA; MA/NZ"	
P 1031sp	P 001031sp	Zentrale		BV00/125	1587755001	arkeoikuska 1998(1999)			"SIE;GRÄ"	IB	"PAL/MES;NEO;BZ;RKZ;VWZ/FMA; MA/NZ"	
P 1031sq - 1999	P 001031sq - 1999	Zentrale		BV01/138	1587756001	arkeoikuska 1999(2000)			"SIE;GRÄ"	IB	"PAL/MES;VWZ/FMA;MA/NZ"	
P 1031sq - 2000	P 001031sq - 2000	Zentrale		BV02/049	400872001	arkeoikuska 2000(2001)			"SIE;GRÄ"	IB	"PAL/MES;VWZ/FMA;MA/NZ"	
P 1031sq - 2001	P 001031sq - 2001	Zentrale		BV03/098	402530001	arkeoikuska 2001(2002)			"SIE;GRÄ"	IB	"PAL/MES;NEO;VWZ/FMA;MA/NZ"	
P 1031sq - 2002	P 001031sq - 2002	Zentrale		BV04/057	403416001	arkeoikuska 2002(2003)			"SIE;GRÄ;ARC"	IB	"PAL/MES;NEO; BZ;RKZ; VWZ/FMA;MA/NZ"	
P 1031sq - 2003	P 001031sq - 2003	Zentrale		BV04/1058	405071001	arkeoikuska 2003(2004)			"SIE;GRÄ;ARC;UW"	IB	"PAL/MES;NEO;BZ;EZ;RKZ;VWZ/FMA;MA/NZ"	
P 1031sq - 2004	P 001031sq - 2004	Zentrale		BV06/422	408010001	arkeoikuska 2004(2005)			"SIE;GRÄ;ARC"	IB	"PAL/MES;NEO;RKZ;VWZ/FMA;MA/NZ"	
P 1031sq - 2005	P 001031sq - 2005	Zentrale		BV07/0818	1564994001	arkeoikuska 2005(2006)			"SIE;GRÄ"	IB	"PAL/MES;NEO;BZ;EZ;RKZ;VWZ/FMA;MA/NZ"	
P 1031sq - 2006	P 001031sq - 2006	Zentrale		BV12/0443	1638920001	arkeoikuska 2006(2007)			"SIE;GRÄ"	IB	"PAL/MES;NEO;BZ;EZ;RKZ;VWZ/FMA;MA/NZ"	
P 1031sq - 2011	P 001031sq - 2011	Zentrale		BV13/0021	1655908001	arkeoikuska 2011(2012)			"SIE;GRÄ;UW"	IB	"PAL/MES;NEO;BZ;EZ;RKZ;VWZ/FMA;MA/NZ"	
P 1031sq - 2012	P 001031sq - 2012	Zentrale		BV14/0314	1690283001	arkeoikuska 2012(2013)			"SIE;ARC"	IB	"PAL/MES;NEO;BZ;EZ;RKZ;VWZ/FMA;MA/NZ"	
P 1031sq - 2013	P 001031sq - 2013	Zentrale		BV15/0164	1712549001	arkeoikuska 2013(2014)			"SIE;GRÄ;ARC"	IB	"PAL/MES;NEO;BZ;EZ;RKZ;VWZ/FMA;MA/NZ"	
P 1031sq - 2014	P 001031sq - 2014	Zentrale		BV16/0638	1739205001	arkeoikuska 2014(2015)			"SIE;ARC;GRÄ"	IB	"PAL/MES;NEO;BZ;EZ;RKZ;VWZ/FMA;MA/NZ"	
P 1031sq - 2015	P 001031sq - 2015	Zentrale		BV17/0005	1752322001	arkeoikuska 2015(2016)			"SIE;GRÄ"	IB	"PAL/MES;NEO;BZ;EZ;RKZ;VWZ/FMA;MA/NZ"	
	P 001031sq - 2016				1769545001							
P 1032	P 001032	Zentrale		BV72/360	1588180001	"Ionita, Ion: Das Gräberfeld von... / Ion Ionita (Saarbrücker Beiträge zur Alt... ; 10)"	"Saarbrücker Beiträge zur Altertumskunde ; 10"	¬Das¬ Gräberfeld von Independenta (Walachei)	GRÄ	BALK	"RKZ; VWZ/FMA"	
P 1032k	P 001032k	Zentrale		BV87/635	1588183001	Ireland and insular art A.D. 500 - 1200 : proceedings of a conference at Univ. College Cork, 31 Oct. - 3 Nov. 1985 / Ed. by Michael Ryan		Ireland and insular art A.D. 500 - 1200	KU	BR	VWZ/ FMA	0-901714-54-2
P 1032s - 1	P 001032s - 1	Zentrale		BV84/389	1588197001	Die Iren und Europa im früheren Mittelalter 1. Band 1. - 1982. - XVIII, 548 S. : Kt.		Band 1	"GE;REL"	BR	VWZ/ FMA	
P 1032s - 2	P 001032s - 2	Zentrale		BV84/389	1588199001	Die Iren und Europa im früheren Mittelalter 2. Band 2. - 1982. - VIII S., S. 549 - 1083 : Ill., Kt.		Band 2	"GE;REL"	BR	VWZ/ FMA	
P 1033	P 001033	Zentrale		BV98/223	1588203001	"Huld-Zetsche, Ingeborg: Der römische Fasanenkrug aus Mainz : zur figürlichen Bemalung der Wetterauer Ware / von Ingeborg Huld-Zetsche (Archäologische Berichte aus ... ; 2)"	"Archäologische Berichte aus Rheinhessen und dem Kreis Bad Kreuznach ; 2"	¬Der¬ römische Fasanenkrug aus Mainz	KER	D	RKZ	3-87439-106-X
P 1033a	P 001033a	Zentrale		BV78/357	1588224001	The Iron Age in Britain : a review / ed. by John Collis		¬The¬ Iron Age in Britain	"SIE; EX"	GB	EZ	0-906090-00-8
P 1033d	P 001033d	Zentrale		BV80/262	1588221001	"Irmscher, Johannes: Einführung in die Byzantinistik / Johannes Irmscher (Sammlung Akademie-Verlag ; 21)"	"Sammlung Akademie-Verlag ; 21"	Einführung in die Byzantinistik	GES	EU	AW	
P 1033i	P 001033i	Zentrale		BV83/127	1588228001	"The iron age and its hill-forts : papers presented to Sir Mortimer Wheeler on the occasion of his eightieth year at... (Department of A... : Universi... ; 1)"	 Department of Archaeology	¬The¬ iron age and its hill-forts	SIE	BR	EZ	
P 1033k	P 001033k	Zentrale		BV77/546	1588231001	"The Iron Age in... / ed. by Charles Thomas (Council for British Archaeol... ; 9)"	"Council for British Archaeology. Research report ; 9"	¬The¬ Iron Age in the Irish Sea province	SIE	BR	EZ	
P 1033m	P 001033m	Zentrale		BV77/547	1588232001	"Two Iron Age sites in Northampton / ed.: J. H. Williams (Northampton Development Corp... ; 1)"	"Northampton Development Corporation archaeological monographs; 1"	Two Iron Age sites in Northampton	SIE	BR	EZ	
P 1033s	P 001033s	Zentrale		BV80/116	1588237001	Iron and man in prehistoric Sweden / by Karin Calissendorff ... [et al.]		Iron and man in prehistoric Sweden	"MET; IND"	SK	EZ	91-36-86949-X
P 1034	P 001034	Zentrale		BV73/394 * BV06/384 	213960002	"Irsigler, Franz: Untersuchungen zur Geschichte des frühfränkischen Adels / von Franz Irsigler (Rheinisches Archiv ; 70)"		Untersuchungen zur Geschichte des frühfränkischen Adels	GE	EU	VWZ/ FMA	
P 1034d	P 001034d	Zentrale		BV83/490	1588239001	"Isaac, Glynn: Early stages in the... / Glynn Isaac (Kroon-Voordracht ; 6)"	"Kroon-Voordracht ; 6"	Early stages in the evolution of human behavior: the adaptive significance of stone tools	STE	AF	PAL/MES	
P 1034e	P 001034e	Zentrale		BV90/166	1588245001	Isaac, Glynn Llywelyn: The archaeology of human origins : Papers by Glynn Isaac. / Ed. by Barbara Isaac - 1. publ.		¬The¬ archaeology of human origins	"AN; SIE; TEC;WIR"	AF	PAL/MES	0-521-36573-2
P 1034h	P 001034h	Zentrale		BV79/480	1588247001	"Ischer, Theophil: Die Pfahlbauten des Bielersees / Theophil Ischer (Heimatkundliche Monographien ; 4)"	"Heimatkundliche Monographien ; 4"	¬Die¬ Pfahlbauten des Bielersees	SIE	CH	"NEO;BZ"	
P 1034k	P 001034k	Zentrale		BV75/194	1588248001	"Isenberg, Gabriele ; Lobbedey, Uwe: Scherben schreiben Geschichte : Archäologische Stadtkernforschung Minden, Bäckerstraße / Gabriele Isenberg u. Uwe Lobbedey"		Scherben schreiben Geschichte	SIE	W	MA/NZ	
P 1035	P 001035	Zentrale		BV95/116	1588255001	Kienast, Dietmar: Augustus : Prinzeps und Monarch / Dietmar Kienast - 2., unver...		Augustus	GE	EU	RKZ	3-534-07058-5
P 1035h	P 001035h	Zentrale		BV76/402	1588259001	"Die Isländersaga / hrsg. von Walter Baetke (Wege der Forschung ; 151)"	"Wege der Forschung ; 151"	¬Die¬ Isländersaga	GE	EU	"VWZ/ FMA; MA/NZ"	3-534-04003-1
P 1035m	P 001035m	Zentrale		BV85/18	1588261001	The northern and western isles in the Viking world : survival, continuity and change / ed. by Alexander Fenton and Hermann Pálsson		¬The¬ northern and western isles in the Viking world	"SIE; VER; GE"	SK	VWZ/FMA	0-85976-101-0
P 1036 - 1	P 001036 - 1	Zentrale		BV92/148	1588267001	"The island of Umm An-Nar 1. Frifelt, Karen  : Third millennium graves. - 1991. - 188 S. : Ill., Kt. (Jutland Archaeological Society publications ; 26,1)"	"Jutland Archaeological Society publications ; 26,1"	Third millennium graves	GRÄ	AS	"NEO;BZ"	87-7288-561-0
P 1036 - 2	P 001036 - 2	Zentrale		BV96/331	1588269001	"The island of Umm An-Nar 2. Frifelt, Karen  : Third millennium settlement. - 1995. (Jutland Archaeological Society publications ; 26,2)"	"Jutland Archaeological Society publications ; 26, 2"	Third millennium settlement	SIE	AS	"NEO;BZ"	87-7288-561-0
P 1036d	P 001036d	Zentrale		BV81/222	1588273001	Iz istorii Severnogo Pricernomorja v anticnuju epochu : sbornik statej / K. S. Gorbunova		Iz istorii Severnogo Pricernomorja v anticnuju epochu	"KER; WIR"	BALK	"EZ;RKZ"	
P 1036f	P 001036f	Zentrale		BV82/244	1588281001	"Hrvatsko Arheolosko Drustvo: Novija i neobjavljena... / Hrvatsko Arheolosko Drustvo. [Réd.: Zeljko Rapanic] (Izdanja Hrvatskog Arheolosko... ; 3)"	"Izdanja Hrvatskog Arheoloskog Drustva ; 3"	Novija i neobjavljena istrazivanja u Dalmaciji	"SIE; GRÄ"	BALK	"NEO;BZ; EZ; RKZ; VWZ/FMA"	
P 1036h - 1	P 001036h - 1	Zentrale		BV80/451	1588285001	"L'Italie préromaine et la Rome républicaine 1 . Band 1. - 1976. - XXVI, 550 S. : Ill., Kt. (Collection de l'Ecole Française de Rome ; 27, 1)"	Collection de l'Ecole Française de Rome, 27, 1	Band 1	FES	"EU;AF"	"EZ;RKZ"	
P 1036h - 2	P 001036h - 2	Zentrale		BV80/451	1588286001	"L'Italie préromaine et la Rome républicaine 2. Band 2. - 1976. - S. 552 - 1071 : Ill. (Collection de l'Ecole Française de Rome ; 27,2)"	Collection de l'Ecole Française de Rome , 27, 2	Band 2	FES	EU	"EZ;RKZ"	
P 1036k	P 001036k	Zentrale		BV79/489	1588316001	Italy before the Romans : the Iron Age, orientalizing and Etruscan periods / ed. by David Ridgway ...		Italy before the Romans	"SIE;GES"	IT	"BZ; EZ"	0-12-588020-0
P 1037 - 2	P 001037 - 2	Zentrale		B50/576	1588338001	"Graziosi, Paolo: I Balzi rossi / Paolo Graziosi (R. Deputazione di storia pat... ; 2)"	"R. Deputazione di storia patria per la Liguria. Sezione ingauna e intemelia. Itinerari storico-turistici della Riviera di Ponente ; 2"	¬I¬ Balzi rossi	"ARF;SIE; GRÄ"	IT	"PAL/MES; NEO"	
P 1037 - 3	P 001037 - 3	Zentrale		B50/576	1588349001	"Lamboglia, Nino: S[an] Giorgio di Campochiesa / Nino Lamboglia (Itinerari storico-turistici ... ; 3)"	"Itinerari storico-turistici della Riviera di Ponente ; 3"	S[an] Giorgio di Campochiesa	"ARF;KU"	IT	"VWZ/FMA; MA/NZ"	
P 1037 - 4	P 001037 - 4	Zentrale		B50/576	1588352001	"Lamboglia, Nino: Il trofeo di Augusto alla Turbia / Nino Lamboglia (Serie degli Itinerari storic... ; 4)"	"Serie degli Itinerari storico-turistici della riviera di Ponente ; 4"	¬Il¬ trofeo di Augusto alla Turbia	"ARF;ARC"	IT	"RKZ; VWZ/FMA;MA/NZ"	
P 1037 - 5	P 001037 - 5	Zentrale		B50/576	1588346001	"Lamboglia, Nino: Vado romana : (con 18 illustrazioni) / Nino Lamboglia. R. deputazione di storia patria per la liguria sezione ingauna e intemelia (Itinerari storico-turistici ... ; 5)"	"Itinerari storico-turistici della Riviera di Ponente ; 5"	Vado romana	"ARF;ARC"	IT	RKZ	
P 1038	P 001038	Zentrale		BV71/51	406909001	"Itten, Marion: Die Horgener Kultur / Marion Itten (Monographien zur Ur- und Frü... ; 17)"		¬Die¬ Horgener Kultur	SIE	"D; CH"	NEO	
P 1038m	P 001038m	Zentrale		BV72/357	1588319001	"Ivanova, Irina K.: Das geologische Alter des fossilen Menschen / I. K. Ivanova (Archaeologica venatoria ; 1)"	"Archaeologica venatoria ; 1"	¬Das¬ geologische Alter des fossilen Menschen	"AN;GEO"	"EU;AF"	PAL/MES	3-17-079029-3
P 1038o	P 001038o	Zentrale		BV93/769	1588320001	"Ivory in Greece and the Eastern Mediterranean from the Bronze Age to the Hellenistic period / Ed. by J. Lesley Fitton (Occasional paper / British M... ; 85)"	"Occasional paper / British Museum ; 85"	Ivory in Greece and the Eastern Mediterranean from the Bronze Age to the Hellenistic period	KNO	"GR;TR"	"BZ; EZ; RKZ"	0-86159-085-6
P 1038s	P 001038s	Zentrale		BV76/327	1588324001	Jackson, Sidney: Celtic and other stone heads / Sidney Jackson. Foreword by Anne Ross		Celtic and other stone heads	KU	BR	EZ	
P 1039	P 001039	Zentrale		BV/ohne	406719001	"Kroll, Hubert: Der vorgeschichtliche Friedhof auf dem Radberg in Hülsten, Kr. Borken : Teil I / Hubert Kroll (Mitteilung aus d. Ruhrland-M... ; 109)"		¬Der¬ vorgeschichtliche Friedhof auf dem Radberg in Hülsten, Kr. Borken	GRÄ	W	NEO/BZ	
P 1040	P 001040	Zentrale		BV93/259	1588325001	Jackson, Ralph: Camerton : the late Iron Age and early Roman metal work / Ralph Jackson		Camerton	"MET; IND"	BR	EZ	0-7141-1395-6
P 1041	P 001041	Zentrale		BV/ohne	1588326001	"Weis, Dieter: Die Großstadt Essen... / von Dieter Weis (Bonner G... ; 7)(Forschungen... ; 59)"	"Bonner Geographische Abhandlungen ; 7"	¬Die¬ Großstadt Essen	"VER;WIR"	D	MA/NZ	
P 1042	P 001042	Zentrale		BV95/126	1588327001	"Het Gallo-romeins Museum in Tongeren : een initiatief van de provincie Limburg (Openbaar Kunstbezit in Vlaan... ; 3)"	"Openbaar Kunstbezit in Vlaanderen 32 ; 1994 ; 3"	Het Gallo-romeins Museum in Tongeren	KAT	BEN	"NEO;BZ; EZ; RKZ; VWZ/FMA"	
P 1043 - 11	P 001043 - 11	Zentrale		BV96/1001	1606046001	"Die Andernacher... / [Hrsg.: Klaus Schäfer] (Andernacher Beiträge ; 11)"	"Andernacher Beiträge ; 11"	¬Die¬ Andernacher Bäckerjungen	"GE;KU"	D	MA/NZ	
P 1043 - 12	P 001043 - 12	Zentrale		BV99/45	1606051001	"Caesar am... / Klaus Schäfer. Mit Beitr. von Gerhard Bauchhenß ... - 2. Aufl. (Andernacher Beiträge ; 12)"	"Andernacher Beiträge ; 12"	Caesar am Mittelrhein	"SIE;GRÄ;GE"	D	RKZ	
P 1043 - 13	P 001043 - 13	Zentrale		BV99/104	1609212001	"Mangartz, Fritz: Die antiken Steinbrüche der Hohen Buche bei Andernach : Topographie, Technologie und Chronologie / Fritz Mangartz (Vulkanpa... ; 1)(Andernacher... ; 13)"	"Vulkanpark-Forschungen ; 1"	¬Die¬ antiken Steinbrüche der Hohen Buche bei Andernach	STE	D	RKZ	3-88467-041-7
P 1043 - 16	P 001043 - 16	Zentrale		BV01/616	400575001	"Zwischen Kreuz und Schwert : Andernach im 7. Jahrhundert ; Begleitheft zur Sonderausstellung im Stadtmuseum Andernach vom 25. September bis 9. Dezember 2001... (Andernacher Beiträge ; 16)"		Zwischen Kreuz und Schwert	"SIE; GRÄ; MET"	D	VWZ/FMA	
P 1043 - 2	P 001043 - 2	Zentrale		BV95/133	1588328001	"Bosinski, Gerhard ; Kolfschoten, Thijs van ; Turner, Elaine: Miesenheim I : Die... / Gerhard Bosinski ; Thijs van Kolfschoten ; Elaine Turner (Andernacher Beiträge ; 2)"	"Andernacher Beiträge ; 2"	Miesenheim I	"AN; GEO"	D	PAL/MES	
P 1043 - 23	P 001043 - 23	Zentrale		BV09/0164	1554860001	"Schäfer, Klaus: Eiszeitjäger auf dem Andernacher Martinsberg : 125 Jahre Spurensuche ; Begleitheft zur gleichnamigen Sonderausstellung im Stadtmuseum Andernach vom 10. März 2009 bis 31. Mai 2009... (Andernacher Beiträge ; 23)"	"Andernacher Beiträge ; 23"	Eiszeitjäger auf dem Andernacher Martinsberg	SIE	D	PAL/MES	978-3-9807996-8-3
P 1043 - 27	P 001043 - 27	Zentrale		BV12/0401	1638326001	"450 Jahre Alter Krahnen... / Klaus Schäfer (Andernacher Beiträge ; 27)"	"Andernacher Beiträge ; 27"	450 Jahre Alter Krahnen	TEC	D	MA/NZ	978-3-9813109-2-4
P 1043 - 29	P 001043 - 29	Zentrale		BV14/1382	1700770001	"Die Münzfunde der Grabung auf dem Gelände der ehemaligen Malzfabrik Weissheimer in Andernach (ab 2008) : Münzen vom... (Andernacher Beiträge ; 29)"	"Andernacher Beiträge ; 29"	¬Die¬ Münzfunde der Grabung auf dem Gelände der ehemaligen Malzfabrik Weissheimer in Andernach (ab 2008)	NUM	D	RKZ	
P 1043 - 3	P 001043 - 3	Zentrale		BV88/506	1572719001	"Andernach im Frühmittelalte... / [Hrsg.: Klaus Schäfer] (Andernacher Beiträge ; 3)"	"Andernacher Beiträge ; 3"	Andernach im Frühmittelalter	"SIE;GRÄ"	D	VWZ/FMA	
P 1043 - 30	P 001043 - 30	Zentrale		BV15/0345	1717719001	"Nostalgische Rheinreise von Mainz bis Köln : Aquarelle, Zeichnungen, Lithographien 1800 - 1950 ; [Begleitheft zur gleichnamigen... (Andernacher Beiträge ; 30)"	"Andernacher Beiträge ; 30"	Nostalgische Rheinreise von Mainz bis Köln	KU	D	MA/NZ	978-3-9813109-9-3
P 1043 - 32	P 001043 - 32	Zentrale		BV16/1055	1743813001	"Schäfer, Klaus: Bims im Bild / Klaus Schäfer ; mit Arbeiten von Marie Guillo (Andernacher Beiträge ; 32)"	"Andernacher Beiträge ; 32"	Bims im Bild	"KU;STE"	D	MA/NZ	978-3-9816873-3-0
	P 001043 - 34				1782061001		"Andernacher Beiträge ;  34"	Münzfunde aus dem Hafenviertel von Andernach am Rhein				978-3-9816873-9-2
P 1043 - 7	P 001043 - 7	Zentrale		BV95/93	1606267001	"Oesterwind, Bernd C.: Die frührömischen Gräberfelder Andernach-Kirchberg, Martinsberg und Koblenz-Kaiserin-Augusta-Ring, Moselring (Andernacher Beiträge ; 7)"	"Andernacher Beiträge ; 7"	¬Die¬ frührömischen Gräberfelder Andernach-Kirchberg, Martinsberg und Koblenz-Kaiserin-Augusta-Ring, Moselring	GRÄ	D	"EZ;RKZ"	
P 1043 - 9	P 001043 - 9	Zentrale		BV95/94	1606269001	"Grabfunde der Urnenfelderku... / Bernd C. Oesterwind ; Klaus Schäfer (Andernacher Beiträge ; 9)"	"Andernacher Beiträge ; 9"	Grabfunde der Urnenfelderkultur aus dem Neuwieder Becken	GRÄ	D	BZ	
P 1043a	P 001043a	Zentrale		BV96/1002	1606049001	"Caesar am Mittelrhein : Begleitheft zur Sonderausstellung im Stadtmuseum Andernach vom 7. Juni bis 1. September 1996. (Andernacher Beiträge ; 12)"	"Andernacher Beiträge ; 12"	Caesar am Mittelrhein	"SIE;GRÄ;GE"	D	RKZ	
P 1044	P 001044	Zentrale		BV95/135	1588360001	"Mogk, Eugen: Zur Bewertung der Snorra-Edda als religionsgeschichtliche und mythologische Quelle des nordgermanischen Heidentums (Berichte über die Verhandlun... ; 84,2)"	"Berichte über die Verhandlungen der Sächsischen Akademie der Wissenschaften zu Leipzig, Philologisch-Historische Klasse ; 84,2"	Zur Bewertung der Snorra-Edda als religionsgeschichtliche und mythologische Quelle des nordgermanischen Heidentums	"REL; GE"	D	"VWZ/FMA;MA/NZ"	
